,Quarter,CPI,fed_6_m_quarterly,fed_5_y_quarterly,Interest Rate,GDP,Housing_Index,corporate_yield,Unemployment,SandP_500,WTI_Crude_Oil_Price
26,1953Q3,26.843333333333334,,,,391.171,,3.27,2.7333333333333334,23.994000015384614,2.82
27,1953Q4,26.89,,,,385.97,,3.1333333333333333,3.7,24.43459026229508,2.82
28,1954Q1,26.953333333333333,,,,385.345,,2.956666666666667,5.266666666666667,26.044032322580644,2.82
29,1954Q2,26.91,,,,386.121,,2.8766666666666665,5.8,28.440476126984127,2.82
30,1954Q3,26.84,,,1.03,390.996,,2.8833333333333333,5.966666666666667,30.7696875625,2.82
31,1954Q4,26.756666666666664,,,0.9866666666666667,399.734,,2.8866666666666667,5.333333333333334,33.56714296825397,2.82
32,1955Q1,26.793333333333333,,,1.3433333333333335,413.073,,2.9600000000000004,4.733333333333333,36.286825428571426,2.82
33,1955Q2,26.756666666666664,,,1.5,421.532,,3.033333333333333,4.4,38.44460279365079,2.82
34,1955Q3,26.776666666666667,,,1.9400000000000002,430.221,,3.1,4.1,43.139062515625,2.82
35,1955Q4,26.856666666666666,,,2.356666666666667,437.092,,3.1166666666666667,4.233333333333333,44.14080669354839,2.82
36,1956Q1,26.86,,,2.4833333333333334,439.746,,3.0966666666666662,4.033333333333333,45.36903229032258,2.82
37,1956Q2,27.036666666666665,,,2.6933333333333334,446.01,,3.26,4.2,46.94609371875,2.82
38,1956Q3,27.316666666666666,,,2.81,451.191,,3.4233333333333333,4.133333333333334,48.06190476190476,2.82
39,1956Q4,27.55,,,2.9266666666666663,460.463,,3.6766666666666663,4.133333333333334,46.14822587096774,2.82
40,1957Q1,27.776666666666667,,,2.9333333333333336,469.779,,3.6999999999999997,3.9333333333333336,44.35096774193548,2.9866666666666664
41,1957Q2,28.013333333333332,,,3.0,472.025,,3.7733333333333334,4.1,46.46222241269841,3.07
42,1957Q3,28.263333333333335,,,3.233333333333334,479.49,,4.07,4.233333333333333,46.18671878125,3.07
43,1957Q4,28.400000000000002,,,3.2533333333333334,474.864,,3.9966666666666666,4.933333333333334,40.66444426984127,3.046666666666667
44,1958Q1,28.736666666666668,,,1.8633333333333333,467.54,,3.606666666666667,6.3,41.495396825396824,3.07
45,1958Q2,28.930000000000003,,,0.9400000000000001,471.978,,3.58,7.366666666666667,43.593809507936506,3.07
46,1958Q3,28.913333333333338,,,1.3233333333333335,485.841,,3.8699999999999997,7.333333333333333,47.525625125,3.07
47,1958Q4,28.94333333333333,0.59,,2.1633333333333336,499.555,,4.093333333333334,6.366666666666666,52.274354709677425,3.0233333333333334
48,1959Q1,28.993333333333336,0.5466666666666666,,2.57,510.33,,4.13,5.833333333333334,55.54295073770492,2.99
49,1959Q2,29.043333333333333,0.29,,3.0833333333333335,522.653,,4.3533333333333335,5.1,57.50984598461539,2.97
50,1959Q3,29.19333333333333,0.5533333333333333,,3.5766666666666667,525.034,,4.473333333333333,5.266666666666667,58.747812421875,2.97
51,1959Q4,29.37,0.65,,3.99,528.6,,4.57,5.6,57.788571222222224,2.97
52,1960Q1,29.396666666666665,0.2833333333333333,,3.9333333333333336,542.648,,4.553333333333334,5.133333333333334,56.21317474603175,2.97
53,1960Q2,29.573333333333334,-0.4066666666666667,,3.6966666666666668,541.08,,4.453333333333333,5.233333333333333,56.08428553968254,2.97
54,1960Q3,29.59,-0.2266666666666666,,2.936666666666667,545.604,,4.3133333333333335,5.533333333333333,55.73875,2.97
55,1960Q4,29.78,0.3333333333333333,,2.296666666666667,540.197,,4.319999999999999,6.266666666666667,55.34048403225806,2.97
56,1961Q1,29.84,0.5333333333333333,,2.0033333333333334,545.018,,4.27,6.8,62.02403203225806,2.97
57,1961Q2,29.83,0.7533333333333333,,1.7333333333333334,555.545,,4.283333333333333,7.0,65.99698446031746,2.97
58,1961Q3,29.94666666666667,0.9133333333333334,,1.6833333333333333,567.664,,4.4366666666666665,6.766666666666667,66.86492060317461,2.97
59,1961Q4,29.99,0.3466666666666667,,2.4,580.612,,4.41,6.2,70.17403240322581,2.97
60,1962Q1,30.106666666666666,0.4566666666666667,1.4117741935483871,2.4566666666666666,594.013,,4.41,5.633333333333334,69.84317477777778,2.97
61,1962Q2,30.22,0.1966666666666666,0.99253968253968253968,2.606666666666667,600.366,,4.296666666666667,5.533333333333333,62.146507825396824,2.97
