DATE,T5YFF
1962-01-01,1.4117741935483871
1962-04-01,0.99253968253968253968
1962-07-01,0.89412698412698412698
1962-10-01,0.67816666666666666667
1963-01-01,0.68557377049180327869
1963-04-01,0.80190476190476190476
1963-07-01,0.60968750000000000000
1963-10-01,0.57622950819672131148
1964-01-01,0.63163934426229508197
1964-04-01,0.59218750000000000000
1964-07-01,0.61453125000000000000
1964-10-01,0.52393442622950819672
1965-01-01,0.17967213114754098361
1965-04-01,0.08825396825396825397
1965-07-01,0.15093750000000000000
1965-10-01,0.37213114754098360656
1966-01-01,0.39904761904761904762
1966-04-01,0.02190476190476190476
1966-07-01,0.07875000000000000000
1966-10-01,-0.32350000000000000000
1967-01-01,-0.11688524590163934426
1967-04-01,0.79031250000000000000
1967-07-01,1.4261904761904762
1967-10-01,1.5329508196721311
1968-01-01,0.85661290322580645161
1968-04-01,-0.11032258064516129032
1968-07-01,-0.42078125000000000000
1968-10-01,-0.07419354838709677419
1969-01-01,-0.19754098360655737705
1969-04-01,-1.6301587301587302
1969-07-01,-1.6355555555555556
1969-10-01,-1.1259016393442623
1970-01-01,-0.78416666666666666667
1970-04-01,-0.05630769230769230769
1970-07-01,0.81546875000000000000
1970-10-01,0.97633333333333333333
1971-01-01,1.5714754098360656
1971-04-01,1.5768253968253968
1971-07-01,1.0467187500000000
1971-10-01,1.0926229508196721
1972-01-01,2.1536507936507937
1972-04-01,1.6659375000000000
1972-07-01,1.3496825396825397
1972-10-01,1.00116666666666666667
1973-01-01,0.06967741935483870968
1973-04-01,-1.1001587301587302
1973-07-01,-3.1660317460317460
1973-10-01,-3.1590000000000000
1974-01-01,-2.2957377049180328
1974-04-01,-3.1282539682539683
1974-07-01,-3.6132812500000000
1974-10-01,-1.6462295081967213
1975-01-01,0.97850000000000000000
1975-04-01,2.3171875000000000
1975-07-01,2.0579687500000000
1975-10-01,2.4373770491803279
1976-01-01,2.6522580645161290
1976-04-01,2.2819047619047619
1976-07-01,2.0240625000000000
1976-10-01,1.5754098360655738
1977-01-01,2.1065079365079365
1977-04-01,1.6623809523809524
1977-07-01,1.1401587301587302
1977-10-01,0.86800000000000000000
1978-01-01,1.0365573770491803
1978-04-01,0.88349206349206349206
1978-07-01,0.32365079365079365079
1978-10-01,-0.73557377049180327869
1979-01-01,-0.88983870967741935484
1979-04-01,-1.0683870967741935
1979-07-01,-1.8106349206349206
1979-10-01,-2.9380327868852459
1980-01-01,-2.7675806451612903
1980-04-01,-2.2315873015873016
1980-07-01,0.88421875000000000000
1980-10-01,-3.2437704918032787
1981-01-01,-3.3077049180327869
1981-04-01,-3.5880952380952381
1981-07-01,-2.2678125000000000
1981-10-01,0.56393442622950819672
1982-01-01,0.11934426229508196721
1982-04-01,-0.46936507936507936508
1982-07-01,2.1326562500000000
1982-10-01,1.1552459016393443
1983-01-01,1.4557142857142857
1983-04-01,1.4134920634920635
1983-07-01,1.9679687500000000
1983-10-01,1.9673333333333333
1984-01-01,1.9443548387096774
1984-04-01,2.3809523809523810
1984-07-01,1.4150793650793651
1984-10-01,2.2355737704918033
1985-01-01,2.7233333333333333
1985-04-01,2.3700000000000000
1985-07-01,1.8469841269841270
1985-10-01,1.0666129032258065
1986-01-01,0.36650000000000000000
1986-04-01,0.44187500000000000000
1986-07-01,0.70687500000000000000
1986-10-01,0.33983870967741935484
1987-01-01,0.58540983606557377049
1987-04-01,1.2782539682539683
1987-07-01,1.5506250000000000
1987-10-01,1.7216129032258065
1988-01-01,1.2348387096774194
1988-04-01,1.2536507936507937
1988-07-01,0.78296875000000000000
1988-10-01,0.32245901639344262295
1989-01-01,-0.15852459016393442623
1989-04-01,-0.91203125000000000000
1989-07-01,-1.0474603174603175
1989-10-01,-0.80693548387096774194
1990-01-01,0.12080645161290322581
1990-04-01,0.40666666666666666667
1990-07-01,0.24047619047619047619
1990-10-01,0.25612903225806451613
1991-01-01,1.1106666666666667
1991-04-01,1.8932812500000000
1991-07-01,1.8223437500000000
1991-10-01,1.7108064516129032
1992-01-01,2.5345161290322581
1992-04-01,2.8200000000000000
1992-07-01,2.2878125000000000
1992-10-01,2.8406451612903226
1993-01-01,2.3696721311475410
1993-04-01,2.1582539682539683
1993-07-01,1.8578125000000000
1993-10-01,1.9850000000000000
1994-01-01,2.2483870967741935
1994-04-01,2.7022580645161290
1994-07-01,2.4392187500000000
1994-10-01,2.4542622950819672
1995-01-01,1.5359677419354839
1995-04-01,0.35888888888888888889
1995-07-01,0.28063492063492063492
1995-10-01,-0.05903225806451612903
1996-01-01,0.17403225806451612903
1996-04-01,1.2046875000000000
1996-07-01,1.2015625000000000
1996-10-01,0.79129032258064516129
1997-01-01,1.0738333333333333
1997-04-01,1.01468750000000000000
1997-07-01,0.56125000000000000000
1997-10-01,0.29193548387096774194
1998-01-01,-0.00934426229508196721
1998-04-01,0.07301587301587301587
1998-07-01,-0.43390625000000000000
1998-10-01,-0.49387096774193548387
1999-01-01,0.13573770491803278689
1999-04-01,0.68500000000000000000
1999-07-01,0.65250000000000000000
1999-10-01,0.75629032258064516129
2000-01-01,0.85126984126984126984
2000-04-01,0.13349206349206349206
2000-07-01,-0.45317460317460317460
2000-10-01,-0.94403225806451612903
2001-01-01,-0.82129032258064516129
2001-04-01,0.51539682539682539683
2001-07-01,1.0242622950819672
2001-10-01,1.9314516129032258
2002-01-01,2.7185000000000000
2002-04-01,2.6939062500000000
2002-07-01,1.6112500000000000
2002-10-01,1.5530645161290323
2003-01-01,1.6565573770491803
2003-04-01,1.3160317460317460
